D1H,Q1H,Q24H,R12H,R1H,R24H,R6H,Sav1H,Sax1H,Sax3H,Sax6H,Sx1H,Sx3H,Sx6H,Tb1n6,Tb1x6,Tb2n6,Tb2x6,Tgn12,Tgn14,Tgn6,Tn12,Tn14,Tn6,Tx12,Tx24,Tx6,W10,W10-10,dd,dn,dr,dsd,dx,ff,ffs,fsd,fx,fxs,gff,gffs,h,h1,h2,h3,hc,hc1,hc2,hc3,n,n1,n2,n3,nc,nc1,nc2,nc3,nhc,p0,pg,pp,pr,ps,pwc,qg,qgn,qgx,qnh,rg,rh,sq,ss,ta,tb,tb1,tb2,tb3,tb4,tb5,td,tg,tgn,tn,tsd,tx,vv,ww,ww-10,za,zm,station,time,wsi,stationname,lat,lon,height,product,projection
,,,,,,,8.65388,9.03553,10.0358,10.7054,12.1624,12.4623,13.1823,,,,,,,,2.9,2.9,2.9,4.4,4.4,3.8,0.0,0.0,90.0,70.3,,6.9,112.5,8.38246,10.14,0.99,,,10.3367,12.06,1064.92,1064.92,1304.92,0.0,1064.92,1064.92,1304.92,0.0,8.0,7.0,8.0,0.0,8.0,7.0,8.0,0.0,8.0,996.429,0.0,1001.68,0.0,997.3,0.0,,,,1001.56,,81.0,0.0,,3.4,2.14056,,,,,,0.4,,,3.4,,3.7,11600.0,2.0,2.0,5.3,11600.0,06201,[2.4005286e+09],0-20000-0-06201,D15-FA-1,54.3256,2.9358,42.7,,
,,,,,,,4.46838,5.55915,6.28352,7.63962,6.94593,7.85987,9.51367,,,,,,,,2.0,2.0,2.0,2.9,6.1,2.9,0.0,1.0,78.9,25.3,,7.2,136.4,4.18621,4.97,0.49,,,6.22349,7.15,964.921,964.921,1084.92,0.0,964.921,964.921,1084.92,0.0,7.0,4.0,7.0,0.0,7.0,4.0,7.0,0.0,7.0,994.084,0.0,999.241,0.0,996.2,0.0,,,,999.11,,83.0,0.0,,2.3,1.22651,,,,,,-0.2,,,2.0,,2.3,6000.0,10.0,10.0,4.0,6000.0,06203,[2.4005286e+09],0-20000-0-06203,P11-B,52.36,3.3417,41.84,,
,,,,,,,11.9976,12.6925,13.6849,13.7767,15.8072,16.6964,16.6964,,,,,,,,2.5,2.5,2.5,3.4,4.0,3.4,0.0,0.0,94.8,66.1,,5.6,115.3,11.0747,13.28,1.05,,,13.459,15.59,1154.92,1154.92,1384.92,0.0,1154.92,1154.92,1384.92,0.0,8.0,5.0,8.0,0.0,8.0,5.0,8.0,0.0,8.0,998.213,0.0,1004.18,0.0,1000.1,0.0,,,,1004.02,,84.0,0.0,,3.1,2.05746,,,,,,0.7,,,3.0,,3.2,22800.0,2.0,2.0,4.0,22800.0,06205,[2.4005286e+09],0-20000-0-06205,A12-CPP,55.3992,3.8103,48.35,,
,,,,,,,6.91149,7.26972,7.26972,7.94192,8.43508,8.46947,9.36371,,,,,,,,-1.4,-1.6,-0.2,0.4,0.4,0.4,1.0,0.0,110.6,95.6,,3.6,120.9,7.26972,8.76,0.39,,,8.43508,9.81,764.921,764.921,884.921,0.0,764.921,764.921,884.921,0.0,8.0,6.0,8.0,0.0,8.0,6.0,8.0,0.0,8.0,995.85,0.0,1000.9,0.0,997.6,0.0,,,,1000.72,,83.0,0.0,,0.1,-0.869677,,,,,,-2.4,,,0.1,,0.3,4900.0,10.0,10.0,4.0,4900.0,06208,[2.4005286e+09],0-20000-0-06208,AWG-1,53.4917,5.9417,40.5,,
,,,,,,,8.91741,9.71776,11.6727,11.8592,13.2562,14.176,14.3194,,,,,,,,2.1,2.1,2.1,3.3,4.3,2.7,1.0,1.0,84.4,66.1,,6.9,106.9,7.90886,9.75,1.05,,,11.0455,13.09,864.921,864.921,974.921,0.0,864.921,864.921,974.921,0.0,8.0,5.0,8.0,0.0,8.0,5.0,8.0,0.0,8.0,995.194,0.0,1000.82,0.0,996.5,0.0,,,,1000.68,,84.0,0.0,,2.5,1.48251,,,,,,0.1,,,2.4,,2.6,6840.0,10.0,10.0,4.0,6840.0,06211,[2.4005286e+09],0-20000-0-06211,J6-A,53.8242,2.9453,45.7,,
,,,,,,,4.49388,4.87439,7.00746,7.62405,6.65146,9.04978,10.1195,,,,,,,,-0.3,-0.3,0.1,0.9,2.1,0.5,0.0,0.0,86.2,46.4,,8.5,120.9,3.98284,4.78,0.78,,,5.42641,6.29,834.921,834.921,954.921,0.0,834.921,834.921,954.921,0.0,8.0,6.0,8.0,0.0,8.0,6.0,8.0,0.0,8.0,994.813,0.0,999.746,0.0,995.0,0.0,,,,999.577,,84.0,0.0,,0.3,-0.621226,,,,,,-2.0,,,0.3,,0.4,4980.0,10.0,10.0,0.0,4980.0,06213,[2.4005286e+09],0-528-0-06213,Hollandse Kust Noord,52.6978,4.2933,39.66,,
,,,,,,,9.32342,9.9478,10.5553,11.0447,13.0486,13.7285,14.1992,,,,,,,,-0.1,-0.2,0.6,1.8,1.8,1.8,0.0,1.0,,,,,,9.77905,11.59,1.25,,,12.2554,14.06,914.921,914.921,1174.92,1404.92,914.921,914.921,1174.92,1404.92,8.0,4.0,6.0,8.0,8.0,4.0,6.0,8.0,8.0,995.778,0.0,1001.19,0.0,996.4,0.0,,,,1001.01,,80.0,0.0,,1.6,0.37441,,,,,,-1.4,,,1.4,,1.7,7730.0,10.0,10.0,4.06,7730.0,06214,[2.4005286e+09],0-20000-0-06214,Buitengaats BG-OHVS2,54.0369,6.0417,43.56,,
,0.0,490.44,0.0,0.0,0.0,0.0,2.74517,3.03,4.1,4.84,4.86,6.47,7.07,,,,,-3.2,-3.2,-3.2,-1.6,-1.6,-1.6,1.8,1.8,1.5,1.0,1.0,71.8,52.0,0.0,7.4,101.3,3.01,3.01,0.43,4.43,4.43,4.43,4.43,27124.9,27124.9,0.0,0.0,27124.9,27124.9,0.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,998.899,0.0,998.755,0.0,998.7,0.0,0.0,0.0,0.0,998.761,0.0,91.0,0.0,0.0,-1.3,-1.77798,,,,,,-2.5,-2.6,-2.8,-1.5,,-1.3,3480.0,10.0,10.0,4.0,3480.0,06215,[2.4005286e+09],0-20000-0-06215,Voorschoten,52.1397,4.4364,-1.15,,
,,,,,,,4.75418,5.01869,7.16243,7.312,6.36937,8.92572,8.92572,,,,,,,,0.4,0.4,0.7,2.4,4.1,2.3,,,92.5,64.7,,6.4,118.1,4.53676,5.46,0.57,,,5.56889,6.47,914.921,914.921,0.0,0.0,914.921,914.921,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,993.626,0.0,999.078,0.0,993.8,,,,,998.912,,84.0,0.0,,1.0,0.04796,,,,,,-1.3,,,0.9,,1.0,,,,,,06216,[2.4005286e+09],0-528-0-06216,Hollandse Kust Zuid Alpha,52.3194,4.0422,44.0,,
,,,,,,,4.07664,4.96384,6.06691,7.06135,6.52043,8.14621,9.32231,,,,,,,,0.8,0.8,0.8,1.9,4.6,1.6,0.0,0.0,71.0,26.7,,11.1,109.7,3.89419,4.66,0.84,,,6.0448,6.99,894.921,894.921,1004.92,0.0,894.921,894.921,1004.92,0.0,8.0,5.0,8.0,0.0,8.0,5.0,8.0,0.0,8.0,994.516,0.0,999.566,0.0,994.8,0.0,,,,999.414,,84.0,0.0,,1.1,0.143855,,,,,,-1.2,,,1.1,,1.1,5440.0,10.0,10.0,0.0,5440.0,06218,[2.4005286e+09],0-528-0-06218,Hollandse Kust West Alpha,52.6797,3.8044,40.77,,
,,,,,,,4.529,5.01,5.91,8.99,6.64,8.31,11.24,,,,,,,,,,,,,,,,79.9,66.1,,4.9,97.0,5.01,5.01,0.41,6.24,6.24,6.24,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,06225,[2.4005286e+09],0-20000-0-06225,IJmuiden,52.4622,4.555,4.4,,
,,,,,,,4.272,5.01,7.71,7.83,7.19,9.71,10.12,,,,,,,,,,,,,,,,77.8,50.6,,8.2,101.3,3.73,3.73,0.47,5.44,5.44,5.42,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06229,[2.4005286e+09],0-20000-0-06229,Texelhors,52.995,4.72,1.0,,
,0.0,,,,,,2.2635,2.9,4.04,5.3,3.6,5.21,7.19,,,,,,,,,,,,,,1.0,,45.7,30.9,,7.8,66.1,1.5,1.5,0.39,2.92,2.92,2.72,2.72,,,,,884.921,884.921,994.921,2147.31,,,,,8.0,2.0,6.0,8.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,3524.79,10.0,,2.0,3290.0,06233,[2.4005286e+09],0-528-0-06233,Assendelft,52.4819,4.7258,-1.6,,
,0.36,279.24,0.0,0.0,0.0,0.0,4.84467,5.11,6.82,6.9,7.28,8.91,8.95,,,,,-1.4,-2.6,-0.6,-1.4,-2.1,-0.5,0.0,0.0,0.0,0.0,0.0,74.3,36.6,0.0,8.4,97.0,5.11,5.11,0.74,7.13,7.13,7.11,7.11,874.921,874.921,0.0,0.0,874.921,874.921,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,999.869,0.0,999.94,0.0,999.8,0.0,1.0,1.0,1.0,999.937,0.0,85.0,0.0,0.0,-0.1,-0.94679,,,,,,-2.2,-0.3,-0.3,-0.1,,0.0,4150.0,10.0,10.0,4.0,4150.0,06235,[2.4005286e+09],0-20000-0-06235,De Kooy Airport,52.9269,4.7811,0.57,,
,0.0,,,,,,2.08483,2.22,4.24,4.64,3.71,6.0,6.57,,,,,,,,,,,,,,1.0,,47.5,23.9,,8.5,71.7,2.0,2.0,0.22,3.34,3.34,2.64,2.64,,,,,2229.33,2229.33,10904.9,24484.9,,,,,8.0,1.0,3.0,8.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,3027.5,10.0,,4.0,2940.0,06236,[2.4005286e+09],0-528-0-06236,Muiden,52.3353,5.0922,-0.9,,
,0.0,,,,,,1.6085,1.89,3.09,3.85,3.21,5.17,6.37,,,,,,,,,,,,,,1.0,,43.6,23.9,,6.1,59.1,1.62,1.62,0.1,2.84,2.84,2.02,2.02,,,,,2081.69,2081.69,0.0,0.0,,,,,1.0,1.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,3799.08,10.0,,2.0,3720.0,06237,[2.4005286e+09],0-528-0-06237,Nieuw-Vennep,52.255,4.6478,-4.8,,
,0.0,,,,,,1.42933,1.69,1.91,3.48,2.8,3.46,5.52,,,,,,,,,,,,,,1.0,,47.4,18.3,,10.3,81.6,1.29,1.29,0.2,2.04,2.04,2.04,2.04,,,,,2081.69,2081.69,0.0,0.0,,,,,1.0,1.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,3811.49,10.0,,2.0,3740.0,06238,[2.4005286e+09],0-528-0-06238,Nieuwkoop,52.1514,4.765,-5.77,,
